,HS DE Kitchen-Emergency (kW),HS DG Gym (kW),HS Plugload DBH (kW),HS DL Lighting (kW),HS MSWB (kW),HS M1 Chillers (kW)
2016-08-30 00:00:00,29.34814,34.22829,7.47332,22.80615,128.4852,0.0
2016-08-30 00:10:00,,,,,,
2016-08-30 00:15:00,27.89108,34.70543,7.171277,23.3591,134.1171,0.0
2016-08-30 00:20:00,,,,,,
2016-08-30 00:30:00,31.0632,34.95387,8.051386,24.36731,132.9934,0.0
2016-08-30 00:40:00,,,,,,
2016-08-30 00:45:00,30.45045,17.5572,7.479367,21.54309,96.3502,0.0
2016-08-30 00:50:00,,,,,,
2016-08-30 01:00:00,23.9138,16.40783,6.965775,19.83463,87.38059,0.0
2016-08-30 01:10:00,,,,,,
2016-08-30 01:15:00,34.41227,17.93226,8.02075,22.59669,100.1071,0.0
2016-08-30 01:20:00,,,,,,
2016-08-30 01:30:00,27.38382,18.75263,7.624764,21.97068,94.77281,0.0
2016-08-30 01:40:00,,,,,,
2016-08-30 01:45:00,25.42775,16.65969,7.169439,21.78212,91.01071,0.0
2016-08-30 01:50:00,,,,,,
2016-08-30 02:00:00,29.75154,18.62569,7.1043,19.71805,95.39138,0.0
2016-08-30 02:10:00,,,,,,
2016-08-30 02:15:00,25.7592,19.67154,7.550535,20.89147,93.0779,0.0
2016-08-30 02:20:00,,,,,,
2016-08-30 02:30:00,28.10695,19.99657,7.423865,23.63735,99.56686,0.0
2016-08-30 02:40:00,,,,,,
2016-08-30 02:45:00,35.84012,17.04186,8.212838,23.32609,103.6251,0.0
2016-08-30 02:50:00,,,,,,
2016-08-30 03:00:00,25.01328,17.78759,7.462038,21.51583,91.28713,0.0
2016-08-30 03:10:00,,,,,,
2016-08-30 03:15:00,29.56183,16.98165,7.632075,23.1194,96.86537,0.0
2016-08-30 03:20:00,,,,,,
2016-08-30 03:30:00,23.46082,17.33518,7.581734,23.58399,93.19483,0.0
2016-08-30 03:40:00,,,,,,
2016-08-30 03:45:00,26.30909,17.34481,7.696329,24.18212,94.43111,0.0
2016-08-30 03:50:00,,,,,,
2016-08-30 04:00:00,27.13938,19.46555,6.694375,21.95408,94.46117,0.0
2016-08-30 22:00:00,28.17811,38.97316,7.260035,24.17727,133.4638,0.0
2016-08-30 22:10:00,,,,,,
2016-08-30 22:15:00,28.64565,43.1447,7.766418,25.06617,140.0478,0.0
2016-08-30 22:20:00,,,,,,
2016-08-30 22:30:00,33.71644,36.99798,8.826673,24.04852,139.2332,0.0
2016-08-30 22:40:00,,,,,,
2016-08-30 22:45:00,31.97581,37.29603,7.817617,23.31165,134.62,0.0
2016-08-30 22:50:00,,,,,,
2016-08-30 23:00:00,28.26976,38.18453,8.180357,22.23063,131.5237,0.0
2016-08-30 23:10:00,,,,,,
2016-08-30 23:15:00,28.20993,34.9915,7.946286,20.61321,126.6056,0.0
2016-08-30 23:20:00,,,,,,
2016-08-30 23:30:00,28.74811,38.72464,7.966245,20.42848,131.6166,0.0
2016-08-30 23:40:00,,,,,,
2016-08-30 23:45:00,30.94618,38.86348,7.828783,22.48239,135.58,0.0
2016-08-30 23:50:00,,,,,,
2016-08-31 00:00:00,30.74419,39.29531,8.073503,22.53166,134.4703,0.0
2016-08-31 00:10:00,,,,,,
2016-08-31 00:15:00,39.18301,37.72114,8.24537,21.11192,140.2215,0.0
2016-08-31 00:20:00,,,,,,
2016-08-31 00:30:00,38.40761,34.54683,7.528391,22.44037,137.4075,0.0
2016-08-31 00:40:00,,,,,,
2016-08-31 00:45:00,25.82721,22.08579,7.907868,21.89219,112.4366,0.0
2016-08-31 00:50:00,,,,,,
2016-08-31 01:00:00,28.23845,22.35059,7.622167,21.45655,113.2308,0.0
2016-08-31 01:10:00,,,,,,
2016-08-31 01:15:00,27.70907,20.67526,7.648855,21.56519,110.7829,0.0
2016-08-31 01:20:00,,,,,,
2016-08-31 01:30:00,25.08725,19.47916,8.092518,20.72989,107.175,0.0
2016-08-31 01:40:00,,,,,,
2016-08-31 01:45:00,31.82751,22.02548,8.418021,21.34887,116.6004,0.0
2016-08-31 01:50:00,,,,,,
2016-08-31 02:00:00,27.08607,19.63222,8.291984,20.10345,109.5022,0.0
2016-08-31 02:10:00,,,,,,
2016-08-31 02:15:00,23.71486,22.34109,7.672524,20.76159,108.6124,0.0
2016-08-31 02:20:00,,,,,,
2016-08-31 02:30:00,35.47386,19.38307,7.767067,20.78615,116.4582,0.0
2016-08-31 02:40:00,,,,,,
2016-08-31 02:45:00,33.69744,20.19529,7.824828,19.84352,99.95249,0.0
2016-08-31 02:50:00,,,,,,
2016-08-31 03:00:00,26.86236,20.5896,7.441151,19.84625,95.74153,0.0
2016-08-31 03:10:00,,,,,,
2016-08-31 03:15:00,26.79079,21.83884,7.862832,20.12284,96.01492,0.0
2016-08-31 03:20:00,,,,,,
2016-08-31 03:30:00,27.78939,20.16674,8.085156,21.17577,97.20609,0.0
2016-08-31 03:40:00,,,,,,
2016-08-31 03:45:00,27.2877,19.26614,8.227679,20.58154,94.51059,0.0
2016-08-31 03:50:00,,,,,,
2016-08-31 04:00:00,26.88675,22.57124,8.322423,21.29863,103.8131,0.0
2016-08-31 22:00:00,30.09245,45.37951,8.805979,28.64224,155.8664,0.0
2016-08-31 22:10:00,,,,,,
2016-08-31 22:15:00,33.39705,42.4903,8.809268,30.66132,170.6976,0.0
2016-08-31 22:20:00,,,,,,
2016-08-31 22:30:00,32.65482,36.51864,8.19206,30.64062,143.896,0.0
2016-08-31 22:40:00,,,,,,
2016-08-31 22:45:00,36.03928,35.82444,8.67877,27.81419,144.7743,0.0
2016-08-31 22:50:00,,,,,,
2016-08-31 23:00:00,33.77081,37.39482,9.21954,27.85517,144.5477,0.0
2016-08-31 23:10:00,,,,,,
2016-08-31 23:15:00,30.65253,35.82433,8.653111,26.33205,153.9597,0.0
2016-08-31 23:20:00,,,,,,
2016-08-31 23:30:00,38.83419,35.33435,9.53864,24.83537,145.4374,0.0
2016-08-31 23:40:00,,,,,,
2016-08-31 23:45:00,39.54523,35.80213,8.541257,26.42464,146.4637,0.0
2016-08-31 23:50:00,,,,,,
2016-09-01 00:00:00,29.70058,36.86975,8.658237,26.26957,148.1098,0.0
2016-09-01 00:10:00,,,,,,
2016-09-01 00:15:00,33.1897,36.69909,8.492021,26.06169,141.399,0.0
2016-09-01 00:20:00,,,,,,
2016-09-01 00:30:00,34.19524,33.75793,8.589017,26.27328,151.6897,0.0
2016-09-01 00:40:00,,,,,,
2016-09-01 00:45:00,29.63942,20.627,8.305533,24.05108,117.5129,0.0
2016-09-01 00:50:00,,,,,,
2016-09-01 01:00:00,25.94613,19.39344,8.603538,24.1907,113.6855,0.0
2016-09-01 01:10:00,,,,,,
2016-09-01 01:15:00,32.33381,19.23466,8.492064,24.77472,119.5315,0.0
2016-09-01 01:20:00,,,,,,
2016-09-01 01:30:00,27.98791,19.97964,8.766289,26.31565,117.2815,0.0
2016-09-01 01:40:00,,,,,,
2016-09-01 01:45:00,23.11502,18.21249,8.195585,21.14794,116.127,0.0
2016-09-01 01:50:00,,,,,,
2016-09-01 02:00:00,38.43333,21.58052,8.468082,24.04807,126.503,0.0
2016-09-01 02:10:00,,,,,,
2016-09-01 02:15:00,32.13913,19.96577,8.573435,25.41353,131.0981,0.0
2016-09-01 02:20:00,,,,,,
2016-09-01 02:30:00,34.74904,19.86756,8.877999,25.12364,122.7001,0.0
2016-09-01 02:40:00,,,,,,
2016-09-01 02:45:00,30.12561,19.82257,8.614796,24.72292,118.9234,0.0
2016-09-01 02:50:00,,,,,,
2016-09-01 03:00:00,24.72112,19.69171,9.141634,24.45524,112.7935,0.0
2016-09-01 03:10:00,,,,,,
2016-09-01 03:15:00,27.36126,20.23598,9.471343,24.51449,115.7642,0.0
2016-09-01 03:20:00,,,,,,
2016-09-01 03:30:00,28.82721,20.55701,8.532522,26.29772,130.2068,0.0
2016-09-01 03:40:00,,,,,,
2016-09-01 03:45:00,24.0665,20.41159,8.225215,24.96721,112.1257,0.0
2016-09-01 03:50:00,,,,,,
2016-09-01 04:00:00,25.61985,20.40581,8.551848,24.09473,113.0358,0.0
2016-09-01 22:00:00,29.17677,66.27325,9.285328,26.65193,165.9779,0.0
2016-09-01 22:10:00,,,,,,
2016-09-01 22:15:00,26.7241,59.99767,8.365259,25.29449,155.2702,0.0
2016-09-01 22:20:00,,,,,,
2016-09-01 22:30:00,33.56652,59.51825,8.029545,28.30685,165.3979,0.0
2016-09-01 22:40:00,,,,,,
2016-09-01 22:45:00,30.33973,54.31805,9.088864,27.30678,158.5499,0.0
2016-09-01 22:50:00,,,,,,
2016-09-01 23:00:00,36.29733,56.67965,8.336893,25.78137,161.9969,0.0
2016-09-01 23:10:00,,,,,,
2016-09-01 23:15:00,40.4834,54.4235,8.436925,26.99825,164.274,0.0
2016-09-01 23:20:00,,,,,,
2016-09-01 23:30:00,37.16578,55.29512,8.443595,29.35738,164.2048,0.0
2016-09-01 23:40:00,,,,,,
2016-09-01 23:45:00,26.37399,55.37491,8.168661,26.5711,151.5645,0.0
2016-09-01 23:50:00,,,,,,
2016-09-02 00:00:00,30.65097,56.60278,7.943275,23.18183,154.4111,0.0
2016-09-02 00:10:00,,,,,,
2016-09-02 00:15:00,26.396,57.58406,8.426933,23.42805,151.8817,0.0
2016-09-02 00:20:00,,,,,,
2016-09-02 00:30:00,27.90502,56.69911,9.182411,28.74261,156.5252,0.0
2016-09-02 00:40:00,,,,,,
2016-09-02 00:45:00,26.1294,40.67235,8.544436,26.89199,136.3454,0.0
2016-09-02 00:50:00,,,,,,
2016-09-02 01:00:00,25.86351,40.4263,8.806055,25.08265,133.261,0.0
2016-09-02 01:10:00,,,,,,
2016-09-02 01:15:00,33.87569,41.38877,8.78893,22.03935,125.8327,0.0
2016-09-02 01:20:00,,,,,,
2016-09-02 01:30:00,36.0515,40.27442,8.2587,25.17658,129.6864,0.0
2016-09-02 01:40:00,,,,,,
2016-09-02 01:45:00,39.28315,41.57487,8.555609,25.74243,133.6574,0.0
2016-09-02 01:50:00,,,,,,
2016-09-02 02:00:00,24.97005,39.06927,8.94888,25.12702,118.5938,0.0
2016-09-02 02:10:00,,,,,,
2016-09-02 02:15:00,24.61864,42.63056,9.077725,27.00283,122.3368,0.0
2016-09-02 02:20:00,,,,,,
2016-09-02 02:30:00,26.58887,40.04782,7.941387,24.60036,119.3859,0.0
2016-09-02 02:40:00,,,,,,
2016-09-02 02:45:00,25.37442,39.04662,8.23665,26.47458,118.3236,0.0
2016-09-02 02:50:00,,,,,,
2016-09-02 03:00:00,28.23066,41.30621,8.162092,25.53071,123.25,0.0
2016-09-02 03:10:00,,,,,,
2016-09-02 03:15:00,27.36753,41.93535,8.351624,23.66745,120.7276,0.0
2016-09-02 03:20:00,,,,,,
2016-09-02 03:30:00,30.80869,40.80212,8.945061,24.70563,123.3098,0.0
2016-09-02 03:40:00,,,,,,
2016-09-02 03:45:00,38.77708,40.91979,8.753572,24.87897,133.4632,0.0
2016-09-02 03:50:00,,,,,,
2016-09-02 04:00:00,26.28636,42.18284,8.687818,24.11987,120.3158,0.0
2016-09-02 22:00:00,29.32739,57.2648,7.889857,23.00056,137.3217,0.0
2016-09-02 22:10:00,,,,,,
2016-09-02 22:15:00,24.131,56.56341,7.463539,23.62794,131.7975,0.0
2016-09-02 22:20:00,,,,,,
2016-09-02 22:30:00,30.43927,56.12226,7.785028,22.02799,137.4246,0.0
2016-09-02 22:40:00,,,,,,
2016-09-02 22:45:00,30.16156,54.88437,7.472789,21.64128,134.0964,0.0
2016-09-02 22:50:00,,,,,,
2016-09-02 23:00:00,27.17433,54.96087,7.861407,18.11505,127.9484,0.0
2016-09-02 23:10:00,,,,,,
2016-09-02 23:15:00,27.53066,54.80551,7.639064,22.86894,134.3789,0.0
2016-09-02 23:20:00,,,,,,
2016-09-02 23:30:00,28.3863,58.33355,7.454146,22.70404,137.3351,0.0
2016-09-02 23:40:00,,,,,,
2016-09-02 23:45:00,25.56459,55.50281,7.753541,25.3736,134.1535,0.0
2016-09-02 23:50:00,,,,,,
2016-09-03 00:00:00,30.2493,56.49787,7.822542,22.39573,137.3573,0.0
2016-09-03 00:10:00,,,,,,
2016-09-03 00:15:00,34.71637,54.89627,7.873372,20.53759,137.6395,0.0
2016-09-03 00:20:00,,,,,,
2016-09-03 00:30:00,35.35562,54.82551,8.232637,21.21375,139.753,0.0
2016-09-03 00:40:00,,,,,,
2016-09-03 00:45:00,25.47831,42.39716,7.916528,21.11741,116.9472,0.0
2016-09-03 00:50:00,,,,,,
2016-09-03 01:00:00,24.54321,40.03731,8.571547,19.64361,112.4396,0.0
2016-09-03 01:10:00,,,,,,
2016-09-03 01:15:00,27.2575,42.74398,7.238171,23.24193,120.2151,0.0
2016-09-03 01:20:00,,,,,,
2016-09-03 01:30:00,23.65226,41.19294,7.786757,24.15349,117.175,0.0
2016-09-03 01:40:00,,,,,,
2016-09-03 01:45:00,26.40739,42.61176,7.495582,22.96189,118.7468,0.0
2016-09-03 01:50:00,,,,,,
2016-09-03 02:00:00,26.93389,42.20012,7.825646,20.52187,116.765,0.0
2016-09-03 02:10:00,,,,,,
2016-09-03 02:15:00,25.65661,40.69229,7.666048,20.98631,113.2538,0.0
2016-09-03 02:20:00,,,,,,
2016-09-03 02:30:00,28.16069,39.9351,8.097063,21.87801,117.0315,0.0
2016-09-03 02:40:00,,,,,,
2016-09-03 02:45:00,25.97976,40.99794,7.537415,22.62129,116.0207,0.0
2016-09-03 02:50:00,,,,,,
2016-09-03 03:00:00,25.05042,39.77305,7.851601,20.7513,112.3848,0.0
2016-09-03 03:10:00,,,,,,
2016-09-03 03:15:00,33.1294,40.19197,8.163694,21.29376,121.6253,0.0
2016-09-03 03:20:00,,,,,,
2016-09-03 03:30:00,31.7032,43.00718,8.025036,18.11174,121.0596,0.0
2016-09-03 03:40:00,,,,,,
2016-09-03 03:45:00,35.71924,45.62503,7.9801,17.86817,139.1958,0.0
2016-09-03 03:50:00,,,,,,
2016-09-03 04:00:00,31.02593,42.2425,8.208284,20.8707,124.6519,0.0
2016-09-03 22:00:00,35.20376,52.573,8.652268,19.3768,139.6959,0.0
2016-09-03 22:10:00,,,,,,
2016-09-03 22:15:00,34.30322,53.93805,7.840992,22.16257,140.5787,0.0
2016-09-03 22:20:00,,,,,,
2016-09-03 22:30:00,31.87576,54.46755,7.76462,20.12606,137.0882,0.0
2016-09-03 22:40:00,,,,,,
2016-09-03 22:45:00,29.94731,56.17373,8.16592,21.37799,139.0823,0.0
2016-09-03 22:50:00,,,,,,
2016-09-03 23:00:00,22.61249,54.00105,7.713403,20.35725,130.0363,0.0
2016-09-03 23:10:00,,,,,,
2016-09-03 23:15:00,28.8514,52.47123,7.912751,22.7254,135.2099,0.0
2016-09-03 23:20:00,,,,,,
2016-09-03 23:30:00,25.16856,53.67358,7.791023,21.9619,131.7216,0.0
2016-09-03 23:40:00,,,,,,
2016-09-03 23:45:00,26.89464,52.26262,8.230461,23.17858,131.3456,0.0
2016-09-03 23:50:00,,,,,,
2016-09-04 00:00:00,27.98491,53.04174,8.576665,20.19951,128.9567,0.0
2016-09-04 00:10:00,,,,,,
2016-09-04 00:15:00,34.98045,56.07627,7.80357,22.0444,141.451,0.0
2016-09-04 00:20:00,,,,,,
2016-09-04 00:30:00,34.16074,57.16489,7.958934,22.8015,141.4965,0.0
2016-09-04 00:40:00,,,,,,
2016-09-04 00:45:00,35.83637,44.27351,7.961472,24.93315,132.6962,0.0
2016-09-04 00:50:00,,,,,,
2016-09-04 01:00:00,23.67365,42.6305,7.771063,24.24931,117.2543,0.0
2016-09-04 01:10:00,,,,,,
2016-09-04 01:15:00,25.60718,41.28898,8.008297,21.7724,120.9127,0.0
2016-09-04 01:20:00,,,,,,
2016-09-04 01:30:00,20.02127,40.3578,7.949077,22.49998,114.9294,0.0
2016-09-04 01:40:00,,,,,,
2016-09-04 01:45:00,23.28562,41.68984,7.561041,21.6891,113.593,0.0
2016-09-04 01:50:00,,,,,,
2016-09-04 02:00:00,25.47265,39.78624,7.447822,20.8007,112.2405,0.0
2016-09-04 02:10:00,,,,,,
2016-09-04 02:15:00,23.43807,42.2091,8.010363,20.0907,112.8621,0.0
2016-09-04 02:20:00,,,,,,
2016-09-04 02:30:00,27.95621,40.87395,8.069295,27.92881,123.5059,0.0
2016-09-04 02:40:00,,,,,,
2016-09-04 02:45:00,23.07637,43.49619,7.956321,22.58621,115.8211,0.0
2016-09-04 02:50:00,,,,,,
2016-09-04 03:00:00,35.15213,42.93437,7.315047,20.97579,125.4479,0.0
2016-09-04 03:10:00,,,,,,
2016-09-04 03:15:00,28.41709,40.807,7.680519,19.37367,115.6084,0.0
2016-09-04 03:20:00,,,,,,
2016-09-04 03:30:00,27.7093,40.22574,7.624596,19.27428,114.2178,0.0
2016-09-04 03:40:00,,,,,,
2016-09-04 03:45:00,24.47604,39.97409,7.661158,17.88927,108.8388,0.0
2016-09-04 03:50:00,,,,,,
2016-09-04 04:00:00,21.92659,43.2644,7.947348,19.17072,113.9726,0.0
2016-09-04 22:00:00,34.90656,53.88805,7.856044,25.191,141.5942,0.0
2016-09-04 22:10:00,,,,,,
2016-09-04 22:15:00,34.71123,53.56643,7.562281,23.31771,139.1786,0.0
2016-09-04 22:20:00,,,,,,
2016-09-04 22:30:00,36.2803,54.78998,7.724045,22.58378,145.3452,0.0
2016-09-04 22:40:00,,,,,,
2016-09-04 22:45:00,42.20235,54.00716,7.740944,20.9937,147.9081,0.0
2016-09-04 22:50:00,,,,,,
2016-09-04 23:00:00,25.33149,51.67242,7.286546,23.21118,135.6218,0.0
2016-09-04 23:10:00,,,,,,
2016-09-04 23:15:00,36.86224,53.57471,7.994282,24.4057,142.3376,0.0
2016-09-04 23:20:00,,,,,,
2016-09-04 23:30:00,33.43279,53.4961,7.477267,24.03862,140.8318,0.0
2016-09-04 23:40:00,,,,,,
2016-09-04 23:45:00,36.90511,52.81579,8.267547,28.8967,147.0474,0.0
2016-09-04 23:50:00,,,,,,
2016-09-05 00:00:00,33.63774,53.75059,7.517809,24.94007,141.3227,0.0
2016-09-05 00:10:00,,,,,,
2016-09-05 00:15:00,28.39011,52.996,8.060104,20.37091,130.4601,0.0
2016-09-05 00:20:00,,,,,,
2016-09-05 00:30:00,30.92407,52.96744,7.893373,21.14728,131.3239,0.0
2016-09-05 00:40:00,,,,,,
2016-09-05 00:45:00,23.60685,39.22612,8.008786,20.82826,111.1164,0.0
2016-09-05 00:50:00,,,,,,
2016-09-05 01:00:00,25.43687,39.21727,7.273797,19.94757,111.4993,0.0
2016-09-05 01:10:00,,,,,,
2016-09-05 01:15:00,21.10552,38.70529,7.872014,20.3343,107.2614,0.0
2016-09-05 01:20:00,,,,,,
2016-09-05 01:30:00,22.58754,42.30631,8.070796,18.22276,110.9616,0.0
2016-09-05 01:40:00,,,,,,
2016-09-05 01:45:00,23.67144,39.02917,7.723413,18.28789,107.409,0.0
2016-09-05 01:50:00,,,,,,
2016-09-05 02:00:00,26.27164,40.30595,7.958942,20.3813,114.2819,0.0
2016-09-05 02:10:00,,,,,,
2016-09-05 02:15:00,26.69883,41.08498,8.340122,20.91062,117.4131,0.0
2016-09-05 02:20:00,,,,,,
2016-09-05 02:30:00,34.24336,38.34458,7.944464,20.28636,123.7388,0.0
2016-09-05 02:40:00,,,,,,
2016-09-05 02:45:00,36.1413,39.44326,7.977638,20.07121,123.9103,0.0
2016-09-05 02:50:00,,,,,,
2016-09-05 03:00:00,26.29691,41.4235,8.252916,21.40736,116.2149,0.0
2016-09-05 03:10:00,,,,,,
2016-09-05 03:15:00,24.87997,42.11476,8.305307,19.90002,115.2543,0.0
2016-09-05 03:20:00,,,,,,
2016-09-05 03:30:00,23.64946,40.82105,7.962729,20.72637,113.4128,0.0
2016-09-05 03:40:00,,,,,,
2016-09-05 03:45:00,24.63404,40.24326,7.678512,18.94714,112.0285,0.0
2016-09-05 03:50:00,,,,,,
2016-09-05 04:00:00,23.7824,39.33753,7.487554,18.50022,108.3722,0.0
2016-09-05 22:00:00,27.46796,53.60141,7.84783,20.10387,116.3364,0.0
2016-09-05 22:10:00,,,,,,
2016-09-05 22:15:00,29.40576,54.9907,7.321827,21.33733,120.6981,0.0
2016-09-05 22:20:00,,,,,,
2016-09-05 22:30:00,27.8769,53.75938,8.101203,23.25356,119.473,0.0
2016-09-05 22:40:00,,,,,,
2016-09-05 22:45:00,31.28255,54.63645,7.68615,21.14904,123.3274,0.0
2016-09-05 22:50:00,,,,,,
2016-09-05 23:00:00,31.61065,53.04086,7.812634,20.07859,123.337,0.0
2016-09-05 23:10:00,,,,,,
2016-09-05 23:15:00,36.26302,53.20393,7.660871,22.32444,130.2609,0.0
2016-09-05 23:20:00,,,,,,
2016-09-05 23:30:00,38.36245,53.61385,8.114248,21.18599,127.2062,0.0
2016-09-05 23:40:00,,,,,,
2016-09-05 23:45:00,28.62527,56.11484,7.607006,18.95299,117.953,0.0
2016-09-05 23:50:00,,,,,,
2016-09-06 00:00:00,30.39529,55.32346,7.54745,24.81078,132.6596,0.0
2016-09-06 00:10:00,,,,,,
2016-09-06 00:15:00,29.18398,54.01624,8.045162,22.39175,119.1906,0.0
2016-09-06 00:20:00,,,,,,
2016-09-06 00:30:00,29.72166,54.12532,7.617242,23.74214,121.8829,0.0
2016-09-06 00:40:00,,,,,,
2016-09-06 00:45:00,23.14297,38.88599,7.499848,21.41055,96.75306,0.0
2016-09-06 00:50:00,,,,,,
2016-09-06 01:00:00,26.17828,40.0607,7.777287,22.56978,101.9776,0.0
2016-09-06 01:10:00,,,,,,
2016-09-06 01:15:00,30.54091,41.27498,8.239981,21.57631,107.7246,0.0
2016-09-06 01:20:00,,,,,,
2016-09-06 01:30:00,33.05913,39.09995,7.496392,23.23669,110.0508,0.0
2016-09-06 01:40:00,,,,,,
2016-09-06 01:45:00,29.96513,38.82191,8.151848,21.63758,103.6695,0.0
2016-09-06 01:50:00,,,,,,
2016-09-06 02:00:00,19.19162,41.1114,7.894714,21.98815,95.75795,0.0
2016-09-06 02:10:00,,,,,,
2016-09-06 02:15:00,25.72456,42.0065,7.029067,21.59172,101.7672,0.0
2016-09-06 02:20:00,,,,,,
2016-09-06 02:30:00,26.2225,41.93807,8.013288,21.69514,103.4532,0.0
2016-09-06 02:40:00,,,,,,
2016-09-06 02:45:00,23.52192,38.33212,8.489779,20.3139,98.89105,0.0
2016-09-06 02:50:00,,,,,,
2016-09-06 03:00:00,26.22477,38.16089,8.155128,20.6122,98.76918,0.0
2016-09-06 03:10:00,,,,,,
2016-09-06 03:15:00,28.84696,38.58487,7.562922,20.50842,100.4828,0.0
2016-09-06 03:20:00,,,,,,
2016-09-06 03:30:00,19.13423,39.44224,8.072154,20.23258,91.73568,0.0
2016-09-06 03:40:00,,,,,,
2016-09-06 03:45:00,35.81936,39.26794,7.797921,23.37464,111.7665,0.0
2016-09-06 03:50:00,,,,,,
2016-09-06 04:00:00,33.07244,40.04703,7.488414,21.89379,108.2024,0.0
2016-09-06 22:00:00,28.50684,58.26522,8.020068,27.44187,129.2942,0.0
2016-09-06 22:10:00,,,,,,
2016-09-06 22:15:00,26.62687,61.92743,8.272243,29.38277,133.2571,0.0
2016-09-06 22:20:00,,,,,,
2016-09-06 22:30:00,29.93335,58.61721,7.714534,27.9383,131.2158,0.0
2016-09-06 22:40:00,,,,,,
2016-09-06 22:45:00,31.32785,58.79416,7.44234,28.88395,133.0148,0.0
2016-09-06 22:50:00,,,,,,
2016-09-06 23:00:00,25.2096,57.57461,7.647556,26.58571,125.3788,0.0
2016-09-06 23:10:00,,,,,,
2016-09-06 23:15:00,27.31157,57.21116,6.857311,26.52686,125.7882,0.0
2016-09-06 23:20:00,,,,,,
2016-09-06 23:30:00,37.53707,57.44798,7.221804,29.10764,139.0876,0.0
2016-09-06 23:40:00,,,,,,
2016-09-06 23:45:00,36.68378,54.9746,7.600007,31.58337,136.5703,0.0
2016-09-06 23:50:00,,,,,,
2016-09-07 00:00:00,28.15953,56.32888,7.762682,28.38537,127.2966,0.0
2016-09-07 00:10:00,,,,,,
2016-09-07 00:15:00,27.50252,55.47385,7.552593,25.50484,122.7563,0.0
2016-09-07 00:20:00,,,,,,
2016-09-07 00:30:00,29.22277,56.26643,7.255355,30.04403,128.8098,0.0
2016-09-07 00:40:00,,,,,,
2016-09-07 00:45:00,24.10459,41.53903,7.716103,25.92717,105.3718,0.0
2016-09-07 00:50:00,,,,,,
2016-09-07 01:00:00,26.63568,40.97166,7.606079,25.4368,106.4125,0.0
2016-09-07 01:10:00,,,,,,
2016-09-07 01:15:00,25.16818,40.01979,7.041666,23.79776,103.0097,0.0
2016-09-07 01:20:00,,,,,,
2016-09-07 01:30:00,33.47765,40.39405,7.700267,24.89447,113.8186,0.0
2016-09-07 01:40:00,,,,,,
2016-09-07 01:45:00,35.7415,40.78302,7.498339,24.51682,115.4385,0.0
2016-09-07 01:50:00,,,,,,
2016-09-07 02:00:00,24.50201,39.16223,7.469155,24.73154,107.8084,0.0
2016-09-07 02:10:00,,,,,,
2016-09-07 02:15:00,23.58033,39.04892,7.806976,28.86882,105.7929,0.0
2016-09-07 02:20:00,,,,,,
2016-09-07 02:30:00,30.17187,39.73722,7.439154,26.20707,109.1083,0.0
2016-09-07 02:40:00,,,,,,
2016-09-07 02:45:00,24.84587,38.7948,7.515482,24.89744,101.5981,0.0
2016-09-07 02:50:00,,,,,,
2016-09-07 03:00:00,25.22831,39.14605,7.141917,24.50857,101.6989,0.0
2016-09-07 03:10:00,,,,,,
2016-09-07 03:15:00,22.77856,40.52285,7.488052,27.96927,104.5836,0.0
2016-09-07 03:20:00,,,,,,
2016-09-07 03:30:00,37.6497,40.57578,7.433208,25.87417,116.6835,0.0
2016-09-07 03:40:00,,,,,,
2016-09-07 03:45:00,32.36552,39.74548,7.710621,25.11684,110.7218,0.0
2016-09-07 03:50:00,,,,,,
2016-09-07 04:00:00,18.95449,39.41215,8.193789,24.85666,99.14186,0.0
2016-09-07 22:00:00,27.90113,62.80182,8.399427,29.45149,136.4213,0.0
2016-09-07 22:10:00,,,,,,
2016-09-07 22:15:00,30.31664,56.70321,8.291215,29.96531,132.5097,0.0
2016-09-07 22:20:00,,,,,,
2016-09-07 22:30:00,27.67133,58.4639,8.655092,29.42535,130.6827,0.0
2016-09-07 22:40:00,,,,,,
2016-09-07 22:45:00,32.13983,57.10439,8.323149,31.07598,136.3782,0.0
2016-09-07 22:50:00,,,,,,
2016-09-07 23:00:00,27.55474,57.87094,9.179824,30.86132,132.3017,0.0
2016-09-07 23:10:00,,,,,,
2016-09-07 23:15:00,26.49981,57.47889,7.626417,29.79717,128.9009,0.0
2016-09-07 23:20:00,,,,,,
2016-09-07 23:30:00,28.20906,56.0745,8.688458,27.69707,127.3164,0.0
2016-09-07 23:40:00,,,,,,
2016-09-07 23:45:00,37.85789,56.28971,8.507174,30.78207,141.074,0.0
2016-09-07 23:50:00,,,,,,
2016-09-08 00:00:00,35.96043,55.86123,7.861854,24.74594,131.0109,0.0
2016-09-08 00:10:00,,,,,,
2016-09-08 00:15:00,32.17548,54.55182,8.045855,24.46935,125.8719,0.0
2016-09-08 00:20:00,,,,,,
2016-09-08 00:30:00,37.10704,55.01894,8.440298,27.55327,134.7254,0.0
2016-09-08 00:40:00,,,,,,
2016-09-08 00:45:00,26.52752,40.01324,8.065881,27.96318,108.4217,0.0
2016-09-08 00:50:00,,,,,,
2016-09-08 01:00:00,24.7052,40.53674,7.711709,26.51882,105.692,0.0
2016-09-08 01:10:00,,,,,,
2016-09-08 01:15:00,24.56424,40.89904,8.433139,25.99298,105.4996,0.0
2016-09-08 01:20:00,,,,,,
